Age,Workclass,fnlwgt,Education,Education-num,Marital-status,Occupation,Relationship,Race,Sex,Capital-gain,Capital-loss,Hours-per-week,Native-country,Income
47-51,Self-emp-not-inc,111939,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,35,Un***********,>50K
32-36,Private,256362,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,35,Un***********,<=50K
47-51,Private,44216,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,Un***********,<=50K
27-31,Private,74966,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,24,Un***********,<=50K
37-41,Private,175441,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,Un***********,<=50K
22-26,Private,66935,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,35,Un***********,<=50K
47-51,Local-gov,174533,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Un***********,>50K
57-61,Private,172333,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,7688,0,40,Un***********,>50K
42-46,Private,257780,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,Un***********,<=50K
27-31,Private,159589,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,85,Un***********,<=50K
32-36,Private,30267,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,Un***********,<=50K
32-36,Self-emp-not-inc,28738,Assoc-acdm,12,Divorced,Sales,Unmarried,White,Female,0,0,35,Un***********,<=50K
17-21,Private,160118,12th,8,Never-married,Sales,Not-in-family,White,Female,0,0,10,***********,<=50K
57-61,Federal-gov,278763,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,Un***********,<=50K
17-21,Private,197747,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,24,Un***********,<=50K
62-66,Private,379062,Some-college,10,Widowed,Adm-clerical,Unmarried,White,Female,0,0,12,Un***********,<=50K
42-46,Private,126889,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,1887,60,Un***********,>50K
37-41,Self-emp-not-inc,443508,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,Un***********,<=50K
37-41,Private,135416,Some-college,10,Divorced,Adm-clerical,Own-child,White,Female,0,0,40,Un***********,<=50K
17-21,Private,194260,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,20,Un***********,<=50K
42-46,Private,83064,Assoc-acdm,12,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Un***********,>50K
27-31,State-gov,119422,10th,6,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,Un***********,<=50K
*,Private,97304,HS-grad,9,Married-spouse-absent,Machine-op-inspct,Unmarried,White,Male,2346,0,40,*,<=50K
42-46,Self-emp-not-inc,149943,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,60,***********,>50K
47-51,Private,235986,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Female,0,0,50,***********,<=50K
52-56,Private,121362,Bachelors,13,Divorced,Other-service,Not-in-family,White,Female,0,0,32,Un***********,<=50K
37-41,Self-emp-inc,57424,Bachelors,13,Divorced,Sales,Not-in-family,White,Female,0,0,60,Un***********,<=50K
52-56,State-gov,281590,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,15024,0,40,Un***********,>50K
22-26,Private,180212,HS-grad,9,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,Un***********,<=50K
17-21,?,118847,HS-grad,9,Never-married,?,Own-child,White,Female,0,0,24,Un***********,<=50K
27-31,Private,213722,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,50,Un***********,>50K
57-61,Federal-gov,195467,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,Un***********,<=50K
*,Local-gov,222810,Some-college,10,Divorced,Other-service,Other-relative,White,Female,7896,0,40,*,>50K
22-26,Private,159732,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,52,Un***********,<=50K
27-31,Private,253262,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Female,0,0,40,Un***********,<=50K
32-36,Self-emp-not-inc,34180,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,70,Un***********,>50K
27-31,Private,47907,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,48,Un***********,<=50K
17-21,Private,41432,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,46,Un***********,<=50K
52-56,Private,39493,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,20,Un***********,<=50K
37-41,Self-emp-not-inc,112497,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,Un***********,>50K
47-51,Federal-gov,197332,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,Un***********,<=50K
67-71,Private,312653,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,25,Un***********,<=50K
27-31,Private,193231,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,3325,0,60,Un***********,<=50K
42-46,Private,182254,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,Un***********,<=50K
17-21,Private,109952,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,25,Un***********,<=50K
42-46,Private,253759,Some-college,10,Married-civ-spouse,Tech-support,Wife,Black,Female,0,0,40,Un***********,<=50K
42-46,Private,213821,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1887,40,Un***********,>50K
32-36,Self-emp-not-inc,168906,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,50,Un***********,<=50K
22-26,Private,449432,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,Un***********,<=50K
42-46,Local-gov,160173,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,50,Un***********,>50K
62-66,Private,154171,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,20051,0,60,Un***********,>50K
47-51,Private,176810,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Un***********,<=50K
62-66,Private,211035,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,30,Un***********,>50K
37-41,Private,220314,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,***********,<=50K
37-41,Local-gov,150755,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,75,Un***********,>50K
27-31,Local-gov,273771,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,45,Un***********,<=50K
27-31,State-gov,358461,Some-college,10,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Male,0,0,40,Un***********,<=50K
17-21,?,71788,Some-college,10,Never-married,?,Own-child,White,Female,0,0,18,Un***********,<=50K
17-21,Private,146268,10th,6,Never-married,Other-service,Own-child,White,Female,0,0,10,Un***********,<=50K
37-41,Private,47902,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,35,Un***********,>50K
27-31,Local-gov,83066,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,Un***********,<=50K
42-46,Private,202466,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,60,Un***********,<=50K
22-26,Private,39092,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,4064,0,50,Un***********,<=50K
47-51,Private,318331,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,Un***********,<=50K
62-66,Private,170939,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,6723,0,40,Un***********,<=50K
37-41,Private,104892,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Un***********,>50K
32-36,Private,184655,11th,7,Divorced,Transport-moving,Not-in-family,White,Male,0,0,50,Un***********,<=50K
32-36,Private,142282,Some-college,10,Separated,Other-service,Unmarried,White,Female,0,0,25,Un***********,<=50K
17-21,Private,156950,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,35,Un***********,<=50K
37-41,Self-emp-not-inc,49156,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,20,Un***********,<=50K
57-61,?,191024,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,Un***********,<=50K
47-51,Private,316101,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,Un***********,<=50K
47-51,Private,83046,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,Un***********,<=50K
27-31,Local-gov,148182,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,Un***********,<=50K
27-31,Local-gov,138332,Doctorate,16,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,Un***********,<=50K
17-21,Private,170544,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,Un***********,<=50K
47-51,Private,177426,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,20,Un***********,<=50K
32-36,Private,113838,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,Un***********,<=50K
22-26,Private,117833,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,1876,40,Un***********,<=50K
42-46,Private,210534,5th-6th,3,Separated,Adm-clerical,Other-relative,White,Male,0,0,40,***********,<=50K
47-51,Private,204447,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,Un***********,>50K
27-31,Federal-gov,182344,HS-grad,9,Married-spouse-absent,Other-service,Unmarried,Black,Male,0,0,40,Un***********,<=50K
42-46,Self-emp-inc,123075,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,70,Un***********,<=50K
27-31,Private,173611,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,Un***********,<=50K
32-36,Self-emp-not-inc,334744,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,Un***********,>50K
27-31,Private,159623,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,Un***********,<=50K
37-41,Private,237321,1st-4th,2,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,***********,>50K
*,?,120478,Assoc-voc,11,Divorced,?,Unmarried,White,Female,0,0,1,*,<=50K
62-66,Federal-gov,271550,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,Un***********,>50K
27-31,?,330132,HS-grad,9,Never-married,?,Not-in-family,White,Female,0,0,25,Un***********,<=50K
37-41,Private,347890,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Un***********,>50K
17-21,Private,66917,11th,7,Married-civ-spouse,Farming-fishing,Own-child,White,Male,0,0,40,***********,<=50K
27-31,Private,297735,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Un***********,>50K
47-51,Self-emp-not-inc,124793,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,30,Un***********,<=50K
57-61,Private,203735,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,Un***********,<=50K
22-26,State-gov,328697,Some-college,10,Divorced,Protective-serv,Other-relative,White,Male,0,0,45,Un***********,<=50K
52-56,Private,87205,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,38,Un***********,<=50K
37-41,Self-emp-not-inc,229148,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,0,0,60,***********,<=50K
37-41,State-gov,99156,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,Un***********,>50K
37-41,Private,126845,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,Un***********,>50K
42-46,Local-gov,166181,HS-grad,9,Divorced,Other-service,Own-child,Black,Female,0,0,40,Un***********,<=50K
37-41,Private,30682,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,Un***********,>50K
22-26,Private,176756,Bachelors,13,Never-married,Craft-repair,Own-child,White,Male,0,0,40,Un***********,<=50K
32-36,Private,189240,Some-college,10,Divorced,Other-service,Unmarried,Black,Female,0,0,40,Un***********,<=50K
22-26,Private,109080,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,55,Un***********,<=50K
17-21,?,194095,Some-college,10,Never-married,?,Own-child,White,Male,0,0,40,Un***********,<=50K
27-31,?,361817,HS-grad,9,Never-married,?,Own-child,White,Male,0,0,25,Un***********,<=50K
37-41,Local-gov,359259,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Un***********,<=50K
47-51,?,281504,Some-college,10,Married-civ-spouse,?,Husband,White,Male,0,0,40,Un***********,<=50K
42-46,Self-emp-inc,278322,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,Un***********,<=50K
22-26,?,335453,Some-college,10,Never-married,?,Own-child,White,Female,0,0,16,Un***********,<=50K
47-51,Private,145290,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,Un***********,<=50K
77-81,Self-emp-not-inc,26865,7th-8th,4,Never-married,Farming-fishing,Unmarried,White,Male,0,0,20,Un***********,<=50K
37-41,Private,163237,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,Un***********,<=50K
37-41,Private,374764,Bachelors,13,Widowed,Exec-managerial,Unmarried,White,Male,0,0,20,Un***********,<=50K
37-41,State-gov,235379,Assoc-acdm,12,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,Un***********,<=50K
17-21,Private,212407,HS-grad,9,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,40,Un***********,<=50K
42-46,Self-emp-inc,155664,5th-6th,3,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,***********,>50K
22-26,Private,219130,Some-college,10,Never-married,Other-service,Not-in-family,Other,Female,0,0,40,Un***********,<=50K
27-31,Private,207685,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,0,0,34,Un***********,<=50K
27-31,Private,157078,10th,6,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,Un***********,<=50K
22-26,Local-gov,90730,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,40,Un***********,>50K
22-26,Private,89154,9th,5,Never-married,Other-service,Not-in-family,White,Male,0,0,40,***********,<=50K
52-56,Private,35520,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,42,Un***********,<=50K
42-46,Private,207301,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,37,Un***********,<=50K
52-56,Private,404453,HS-grad,9,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,Un***********,<=50K
57-61,Private,246262,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,Un***********,>50K
17-21,Private,275190,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,Un***********,<=50K
62-66,?,266081,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,Un***********,<=50K
47-51,Federal-gov,94754,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,Un***********,>50K
37-41,Private,286789,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,Un***********,>50K
17-21,Private,156736,10th,6,Never-married,Sales,Unmarried,White,Female,0,0,12,Un***********,<=50K
27-31,Private,56658,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Amer-Indian-Eskimo,Male,0,0,8,Un***********,<=50K
52-56,Private,194501,11th,7,Widowed,Other-service,Own-child,White,Female,0,0,47,Un***********,<=50K
17-21,Private,161092,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,Un***********,<=50K
32-36,Private,138441,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,35,Un***********,<=50K
77-81,?,144533,HS-grad,9,Widowed,?,Not-in-family,Black,Female,0,0,30,Un***********,<=50K
32-36,Private,186126,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,38,***********,<=50K
37-41,Private,274158,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Un***********,<=50K
47-51,Private,249706,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,Un***********,<=50K
37-41,Private,108540,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,Un***********,<=50K
17-21,?,216508,12th,8,Never-married,?,Not-in-family,White,Male,0,0,25,Un***********,<=50K
37-41,Private,32916,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,Un***********,>50K
42-46,Private,34037,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,Un***********,<=50K
32-36,Private,121634,10th,6,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,***********,<=50K
52-56,Private,221915,Prof-school,15,Never-married,Prof-specialty,Other-relative,White,Female,0,0,65,Un***********,<=50K
52-56,Private,150726,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,Un***********,<=50K
47-51,Private,175339,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Un***********,>50K
22-26,Private,193586,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,25,Un***********,<=50K
22-26,Private,217363,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,Un***********,<=50K
37-41,Private,305597,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Un***********,<=50K
17-21,?,117444,HS-grad,9,Never-married,?,Own-child,White,Male,0,0,30,Un***********,<=50K
42-46,Private,152159,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,Un***********,<=50K
27-31,Local-gov,105830,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,60,Un***********,<=50K
67-71,Private,339168,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,30,Un***********,<=50K
17-21,State-gov,258490,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,20,Un***********,<=50K
*,Private,113464,1st-4th,2,Never-married,Other-service,Own-child,Other,Male,0,0,35,*,<=50K
62-66,Private,117681,HS-grad,9,Divorced,Farming-fishing,Not-in-family,White,Male,0,0,25,Un***********,<=50K
57-61,Private,112840,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,Un***********,>50K
22-26,Private,97508,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,50,Un***********,<=50K
57-61,Self-emp-not-inc,43221,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2415,40,Un***********,>50K
52-56,Self-emp-not-inc,110238,Bachelors,13,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,0,0,40,Un***********,>50K
37-41,Private,343403,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,36,Un***********,<=50K
32-36,Private,46746,Some-college,10,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,Un***********,<=50K
22-26,Self-emp-not-inc,108506,Assoc-voc,11,Never-married,Farming-fishing,Not-in-family,Amer-Indian-Eskimo,Male,0,0,75,Un***********,<=50K
57-61,State-gov,111224,Bachelors,13,Divorced,Machine-op-inspct,Not-in-family,Black,Male,0,0,39,Un***********,<=50K
47-51,Private,287828,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,Un***********,>50K
32-36,Private,174887,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,Un***********,<=50K
32-36,Private,216361,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,16,Un***********,<=50K
32-36,Private,410489,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,45,Un***********,<=50K
37-41,Private,107125,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,60,Un***********,<=50K
22-26,Private,245880,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,60,Un***********,<=50K
22-26,Private,102106,10th,6,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,Un***********,<=50K
17-21,?,114969,HS-grad,9,Never-married,?,Own-child,White,Male,0,0,40,Un***********,<=50K
37-41,Local-gov,190786,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,20,Un***********,<=50K
42-46,Private,328216,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,Un***********,>50K
67-71,Local-gov,176931,7th-8th,4,Widowed,Other-service,Not-in-family,White,Female,0,0,20,Un***********,<=50K
32-36,Private,323069,Assoc-voc,11,Divorced,Other-service,Unmarried,White,Female,0,0,40,Un***********,<=50K
67-71,Self-emp-not-inc,122094,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,15,Un***********,<=50K
37-41,Private,295949,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,Un***********,<=50K
32-36,Private,115989,11th,7,Married-civ-spouse,Other-service,Wife,White,Female,0,0,60,Un***********,<=50K
22-26,Private,346909,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,44,***********,<=50K
52-56,Private,354923,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,Un***********,<=50K
52-56,Private,189511,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Un***********,<=50K
37-41,Private,231689,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Un***********,>50K
47-51,Self-emp-inc,188610,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,48,Un***********,<=50K
37-41,Private,262038,5th-6th,3,Married-spouse-absent,Farming-fishing,Not-in-family,White,Male,0,0,35,***********,<=50K
22-26,Private,181820,Some-college,10,Never-married,Farming-fishing,Unmarried,White,Male,0,0,45,Un***********,<=50K
57-61,Private,140426,Doctorate,16,Married-civ-spouse,Tech-support,Husband,White,Male,0,1977,40,***********,>50K
37-41,State-gov,210094,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,Un***********,<=50K
37-41,Local-gov,128054,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,Un***********,<=50K
37-41,Private,247111,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,Un***********,>50K
57-61,Private,101096,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,65,Un***********,>50K
32-36,Private,254202,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,50,Un***********,<=50K
57-61,?,409842,Masters,14,Married-civ-spouse,?,Husband,White,Male,0,0,20,Un***********,<=50K
52-56,Private,22154,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Un***********,<=50K
32-36,Private,87605,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,0,0,40,Un***********,<=50K
22-26,?,229997,Some-college,10,Married-spouse-absent,?,Unmarried,Black,Female,0,0,40,Un***********,<=50K
67-71,Private,50351,Masters,14,Never-married,Adm-clerical,Not-in-family,White,Female,6360,0,20,Un***********,<=50K
47-51,State-gov,185800,Masters,14,Divorced,Prof-specialty,Unmarried,Black,Female,7430,0,40,Un***********,>50K
32-36,Federal-gov,203836,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,Un***********,<=50K
17-21,?,297396,HS-grad,9,Never-married,?,Own-child,White,Male,0,0,10,Un***********,<=50K
32-36,Self-emp-inc,79586,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Other,Male,0,0,60,Un***********,<=50K
57-61,Private,301514,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,Un***********,<=50K
32-36,Private,162256,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,Un***********,<=50K
57-61,Local-gov,286967,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,Un***********,<=50K
22-26,Private,287988,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,20,Un***********,<=50K
42-46,Self-emp-not-inc,167280,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,Un***********,<=50K
27-31,Self-emp-not-inc,176185,Some-college,10,Married-spouse-absent,Craft-repair,Own-child,White,Male,0,0,60,Un***********,>50K
42-46,Private,184632,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,Un***********,<=50K
32-36,Private,202952,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,Un***********,<=50K
37-41,Private,291808,HS-grad,9,Divorced,Protective-serv,Not-in-family,Black,Female,0,0,40,Un***********,<=50K
42-46,Private,324655,Masters,14,Married-civ-spouse,Tech-support,Husband,White,Male,0,1902,40,***********,>50K
32-36,Local-gov,429897,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,***********,>50K
52-56,Private,167527,11th,7,Widowed,Other-service,Unmarried,Black,Female,0,0,40,Un***********,<=50K
32-36,Private,178841,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,Un***********,>50K
47-51,State-gov,155372,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,Un***********,<=50K
32-36,Private,41777,12th,8,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,20,Un***********,<=50K
27-31,Private,167990,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,Un***********,>50K
