Age,Workclass,fnlwgt,Education,Education-num,Marital-status,Occupation,Relationship,Race,Sex,Capital-gain,Capital-loss,Hours-per-week,Native-country,Income
17-21,Private,163870,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,30,Un***********,<=50K
52-56,Private,127671,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Un***********,<=50K
47-51,Local-gov,96678,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,Un***********,<=50K
32-36,Private,233107,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,33,***********,<=50K
*,Private,155509,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,16,*,<=50K
32-36,Private,133299,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Un***********,<=50K
27-31,Private,302406,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,60,Un***********,<=50K
22-26,Local-gov,201664,Some-college,10,Never-married,Protective-serv,Own-child,White,Male,0,0,40,Un***********,<=50K
22-26,Private,263670,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,0,0,80,Un***********,<=50K
47-51,Private,199058,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Un***********,>50K
42-46,State-gov,41834,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,38,Un***********,>50K
42-46,Private,225065,Preschool,1,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,***********,<=50K
27-31,Private,273324,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,1721,16,Un***********,<=50K
22-26,Private,215546,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,55,Un***********,<=50K
57-61,Private,176689,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,Un***********,<=50K
42-46,Private,261192,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,Un***********,<=50K
*,Local-gov,214143,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,*,<=50K
27-31,Private,162312,Assoc-voc,11,Never-married,Machine-op-inspct,Not-in-family,Other,Male,0,0,40,Un***********,<=50K
42-46,Private,186473,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,Un***********,<=50K
32-36,Private,119957,Bachelors,13,Separated,Other-service,Unmarried,Black,Female,0,0,35,Un***********,<=50K
27-31,Private,133937,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Un***********,>50K
42-46,Local-gov,148995,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,4787,0,45,Un***********,>50K
32-36,Private,269722,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,Un***********,>50K
42-46,Private,125492,Bachelors,13,Divorced,Prof-specialty,Not-in-family,Black,Female,0,0,40,Un***********,<=50K
52-56,Local-gov,370045,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Un***********,>50K
27-31,Private,169583,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,35,Un***********,<=50K
32-36,Private,170772,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,Un***********,<=50K
27-31,Federal-gov,31161,HS-grad,9,Divorced,Exec-managerial,Not-in-family,Other,Female,0,0,40,Un***********,<=50K
57-61,Self-emp-not-inc,113080,9th,5,Married-civ-spouse,Sales,Husband,White,Male,0,0,58,Un***********,>50K
42-46,State-gov,219682,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,45,Un***********,<=50K
22-26,Private,336404,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,Un***********,<=50K
37-41,Private,108907,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Male,0,0,40,***********,<=50K
47-51,Private,158508,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,36,Un***********,<=50K
42-46,Private,165937,HS-grad,9,Divorced,Transport-moving,Own-child,White,Male,0,0,60,Un***********,<=50K
67-71,Private,235079,Preschool,1,Widowed,Craft-repair,Unmarried,Black,Male,0,0,10,Un***********,<=50K
42-46,Private,232586,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,Un***********,>50K
52-56,Local-gov,392668,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,Un***********,>50K
47-51,Self-emp-not-inc,117849,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,40,Un***********,<=50K
52-56,Private,200419,Assoc-acdm,12,Separated,Prof-specialty,Not-in-family,White,Female,0,0,50,Un***********,<=50K
42-46,Self-emp-not-inc,94962,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,***********,<=50K
37-41,Private,110562,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Un***********,<=50K
57-61,Private,199198,7th-8th,4,Widowed,Other-service,Not-in-family,Black,Female,0,0,21,Un***********,<=50K
22-26,Private,206199,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Male,0,0,40,Un***********,<=50K
37-41,Private,244172,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Un***********,<=50K
32-36,Private,97723,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Un***********,>50K
32-36,Private,230420,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,45,Un***********,<=50K
37-41,Private,320451,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,1977,45,***********,>50K
17-21,Private,174732,HS-grad,9,Never-married,Other-service,Other-relative,Black,Male,0,0,36,Un***********,<=50K
37-41,Private,51506,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Un***********,<=50K
17-21,Private,242718,11th,7,Never-married,Sales,Own-child,White,Male,0,0,12,Un***********,<=50K
32-36,?,139770,Assoc-voc,11,Married-civ-spouse,?,Wife,White,Female,0,0,20,Un***********,>50K
22-26,Private,515025,10th,6,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,0,0,40,Un***********,<=50K
37-41,Private,178983,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,30,Un***********,>50K
62-66,Private,66634,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Un***********,<=50K
27-31,Local-gov,156464,Bachelors,13,Never-married,Prof-specialty,Other-relative,White,Male,0,0,40,***********,<=50K
37-41,Private,289309,Some-college,10,Divorced,Other-service,Not-in-family,White,Female,0,0,48,Un***********,<=50K
27-31,Private,105422,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Un***********,>50K
27-31,Private,160784,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,45,Un***********,<=50K
32-36,Private,162424,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,Un***********,<=50K
27-31,Private,169583,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,Un***********,<=50K
42-46,Private,105936,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,Un***********,<=50K
77-81,Self-emp-not-inc,562336,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,20,Un***********,<=50K
52-56,Self-emp-not-inc,190333,HS-grad,9,Divorced,Farming-fishing,Not-in-family,White,Male,0,0,25,Un***********,<=50K
22-26,Private,149704,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,Un***********,<=50K
37-41,Private,107302,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,Un***********,<=50K
47-51,Private,232628,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,Un***********,<=50K
52-56,Private,190257,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,53,Un***********,>50K
37-41,Self-emp-not-inc,154374,Some-college,10,Divorced,Other-service,Unmarried,White,Male,0,0,45,Un***********,<=50K
17-21,?,155697,9th,5,Never-married,?,Own-child,White,Male,0,0,42,Un***********,<=50K
22-26,Private,291968,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,Un***********,<=50K
47-51,Private,182944,HS-grad,9,Widowed,Tech-support,Unmarried,Black,Female,0,0,40,Un***********,<=50K
17-21,Private,304949,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,10,Un***********,<=50K
72-76,?,28929,11th,7,Widowed,?,Not-in-family,White,Female,0,0,24,Un***********,<=50K
22-26,Self-emp-not-inc,201930,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,Un***********,<=50K
17-21,?,34443,Some-college,10,Never-married,?,Own-child,White,Male,0,0,50,Un***********,<=50K
37-41,Private,168680,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,Un***********,<=50K
17-21,Private,83033,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,25,***********,<=50K
32-36,Private,29145,Assoc-voc,11,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,Un***********,<=50K
27-31,Private,588905,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Un***********,<=50K
27-31,Local-gov,154950,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,72,Un***********,>50K
27-31,Local-gov,273929,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,Un***********,<=50K
27-31,Private,164190,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Un***********,>50K
47-51,Private,114770,HS-grad,9,Divorced,Other-service,Own-child,White,Female,0,0,32,Un***********,<=50K
22-26,Self-emp-not-inc,289116,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,50,Un***********,<=50K
42-46,Self-emp-not-inc,353012,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,50,Un***********,>50K
32-36,Self-emp-not-inc,257250,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,99,Un***********,<=50K
17-21,Private,50341,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,38,Un***********,<=50K
22-26,Private,160445,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,Un***********,<=50K
32-36,Private,372317,9th,5,Separated,Other-service,Unmarried,White,Female,0,0,23,***********,<=50K
32-36,Private,190895,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,Un***********,<=50K
22-26,Private,134787,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,40,Un***********,<=50K
42-46,?,37672,HS-grad,9,Divorced,?,Not-in-family,White,Female,0,0,15,Un***********,<=50K
42-46,State-gov,222374,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,43,Un***********,>50K
32-36,Private,54595,12th,8,Never-married,Sales,Not-in-family,Black,Female,0,0,40,Un***********,<=50K
42-46,Local-gov,144531,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,Un***********,>50K
22-26,Local-gov,177482,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,45,Un***********,>50K
27-31,Private,184723,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Female,0,1980,35,Un***********,<=50K
22-26,Private,112459,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,Un***********,<=50K
37-41,Private,115932,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,50,Un***********,>50K
17-21,Private,142964,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,20,Un***********,<=50K
67-71,Self-emp-not-inc,141085,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,20,Un***********,<=50K
37-41,Private,166585,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,55,Un***********,<=50K
22-26,Private,410439,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,15,Un***********,<=50K
47-51,Private,234320,7th-8th,4,Never-married,Prof-specialty,Other-relative,Black,Male,0,0,45,Un***********,<=50K
37-41,Private,221172,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,Un***********,>50K
52-56,Self-emp-not-inc,52888,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,10,Un***********,<=50K
47-51,Private,131826,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,Un***********,>50K
22-26,Private,403788,Assoc-acdm,12,Never-married,Other-service,Own-child,Black,Male,0,0,40,Un***********,<=50K
37-41,State-gov,108293,Masters,14,Never-married,Prof-specialty,Other-relative,White,Female,0,0,40,Un***********,<=50K
27-31,State-gov,382272,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,Un***********,<=50K
62-66,Local-gov,78866,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,Un***********,<=50K
47-51,Private,158680,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,Un***********,>50K
62-66,Private,186696,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Un***********,<=50K
17-21,Private,196643,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,Un***********,<=50K
47-51,Private,155862,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,65,Un***********,<=50K
37-41,Private,342164,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,37,Un***********,<=50K
67-71,?,159077,11th,7,Married-civ-spouse,?,Husband,White,Male,0,0,48,Un***********,<=50K
17-21,Private,307496,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,23,Un***********,<=50K
37-41,Self-emp-not-inc,238184,HS-grad,9,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,0,40,Un***********,<=50K
32-36,Self-emp-not-inc,213887,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,32,***********,>50K
42-46,Federal-gov,33521,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Un***********,<=50K
17-21,Private,238917,11th,7,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,32,***********,<=50K
47-51,Private,50748,Bachelors,13,Widowed,Prof-specialty,Unmarried,White,Female,1506,0,35,Un***********,<=50K
32-36,Private,210945,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Un***********,>50K
57-61,Self-emp-not-inc,103529,Masters,14,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,38,Un***********,>50K
42-46,Private,174794,Bachelors,13,Separated,Prof-specialty,Unmarried,White,Female,0,0,56,***********,<=50K
17-21,Private,99199,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,32,Un***********,<=50K
32-36,Private,405386,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,28,Un***********,<=50K
42-46,Private,35910,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,56,Un***********,>50K
27-31,Local-gov,40338,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Un***********,<=50K
62-66,Private,86108,HS-grad,9,Widowed,Farming-fishing,Not-in-family,White,Male,0,0,6,Un***********,<=50K
57-61,State-gov,124971,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,***********,>50K
42-46,Local-gov,257855,11th,7,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,50,Un***********,<=50K
32-36,Federal-gov,190228,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,1902,48,Un***********,>50K
17-21,Private,104232,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,10,Un***********,<=50K
57-61,Federal-gov,208640,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Un***********,>50K
52-56,Private,141301,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,Un***********,<=50K
57-61,Local-gov,176753,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,48,Un***********,<=50K
67-71,Self-emp-inc,76860,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,40,Un***********,>50K
22-26,Private,239043,11th,7,Never-married,Other-service,Not-in-family,White,Male,0,0,40,Un***********,<=50K
47-51,Self-emp-not-inc,68898,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,7688,0,55,Un***********,>50K
47-51,Private,40000,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,4064,0,44,Un***********,<=50K
17-21,Private,200089,1st-4th,2,Married-civ-spouse,Other-service,Other-relative,White,Male,0,0,40,***********,<=50K
32-36,Private,27380,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,Un***********,>50K
27-31,Private,248384,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,Un***********,<=50K
17-21,Private,117549,10th,6,Never-married,Sales,Other-relative,Black,Female,0,0,12,Un***********,<=50K
42-46,Private,114351,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,35,Un***********,<=50K
67-71,Self-emp-not-inc,450580,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,20,Un***********,<=50K
77-81,?,172826,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,8,Un***********,<=50K
32-36,State-gov,34104,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,38,Un***********,>50K
22-26,Private,267955,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,40,Un***********,<=50K
22-26,Private,218215,Assoc-voc,11,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,Un***********,<=50K
47-51,Self-emp-inc,81513,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,Un***********,>50K
22-26,Private,346159,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,Un***********,<=50K
27-31,Private,257863,Some-college,10,Divorced,Other-service,Not-in-family,White,Female,0,0,15,Un***********,<=50K
52-56,Private,159755,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,40,Un***********,>50K
27-31,Private,37088,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,30,Un***********,<=50K
32-36,Private,235109,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,Un***********,<=50K
32-36,Private,31740,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,***********,<=50K
47-51,Self-emp-not-inc,61885,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,Un***********,>50K
17-21,Private,212468,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,15,Un***********,<=50K
47-51,Private,371299,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,35,Un***********,<=50K
37-41,Private,140477,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,10,Un***********,<=50K
77-81,Private,344425,9th,5,Married-civ-spouse,Priv-house-serv,Wife,Black,Female,0,0,10,Un***********,<=50K
52-56,Private,92444,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,50,Un***********,>50K
22-26,Private,117618,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,35,Un***********,<=50K
27-31,Private,166210,HS-grad,9,Divorced,Handlers-cleaners,Own-child,White,Male,0,0,50,Un***********,<=50K
47-51,Private,133963,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,35,Un***********,<=50K
47-51,Private,129513,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,Un***********,<=50K
37-41,Private,380614,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,13,Un***********,>50K
22-26,Private,233711,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,50,Un***********,<=50K
42-46,Self-emp-not-inc,182217,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,35,Un***********,<=50K
32-36,Private,209317,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,***********,<=50K
22-26,Private,114150,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,40,Un***********,<=50K
32-36,Private,281982,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Un***********,>50K
57-61,?,334585,10th,6,Married-civ-spouse,?,Wife,White,Female,0,0,40,Un***********,<=50K
27-31,Private,257849,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,Un***********,<=50K
27-31,Local-gov,190401,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Un***********,<=50K
37-41,Private,370585,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,Black,Male,0,0,40,Un***********,<=50K
22-26,Private,32276,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,28,Un***********,<=50K
52-56,Private,327769,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,Un***********,<=50K
47-51,Private,189462,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Un***********,<=50K
22-26,Private,42706,Assoc-voc,11,Never-married,Protective-serv,Not-in-family,White,Male,0,0,60,Un***********,<=50K
52-56,Private,154342,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,Un***********,>50K
42-46,Private,236040,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Un***********,>50K
17-21,Private,57108,11th,7,Never-married,Sales,Own-child,White,Male,0,0,16,Un***********,<=50K
32-36,Private,226311,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,0,40,Un***********,<=50K
42-46,?,28359,HS-grad,9,Separated,?,Unmarried,White,Female,0,0,10,Un***********,<=50K
37-41,Private,108913,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,Un***********,<=50K
17-21,State-gov,110946,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,43,Un***********,<=50K
17-21,Private,544091,HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,25,Un***********,<=50K
62-66,Self-emp-not-inc,134960,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,35,Un***********,>50K
22-26,Private,60552,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,40,Un***********,<=50K
52-56,Federal-gov,276868,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,Un***********,>50K
22-26,?,214238,7th-8th,4,Never-married,?,Not-in-family,White,Female,0,0,40,***********,<=50K
47-51,State-gov,206577,Some-college,10,Divorced,Adm-clerical,Own-child,White,Male,0,0,40,Un***********,<=50K
22-26,Private,190015,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,40,Un***********,<=50K
17-21,Private,72355,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,20,Un***********,<=50K
52-56,Private,285854,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,Un***********,>50K
52-56,Private,96827,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,0,0,40,***********,<=50K
62-66,Private,167711,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0,0,40,Un***********,>50K
32-36,Self-emp-not-inc,150371,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,Un***********,<=50K
52-56,Private,126978,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,0,0,40,***********,<=50K
27-31,Private,204052,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Un***********,<=50K
32-36,Private,176117,Some-college,10,Never-married,Sales,Own-child,Black,Female,0,0,35,Un***********,<=50K
42-46,Private,198619,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Un***********,<=50K
32-36,Private,258339,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,Un***********,>50K
42-46,Private,157443,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,0,0,27,***********,>50K
27-31,Private,142712,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,Un***********,<=50K
52-56,Self-emp-not-inc,101017,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,35,Un***********,<=50K
72-76,Private,148003,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,20051,0,36,Un***********,>50K
42-46,Private,112607,11th,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,Un***********,<=50K
27-31,Private,282398,Some-college,10,Separated,Tech-support,Unmarried,White,Male,0,0,40,Un***********,>50K
42-46,Private,160815,Assoc-voc,11,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,Un***********,<=50K
32-36,Self-emp-not-inc,137223,10th,6,Never-married,Other-service,Own-child,White,Female,0,0,40,Un***********,<=50K
32-36,Private,249716,HS-grad,9,Never-married,Tech-support,Not-in-family,White,Male,0,0,45,Un***********,<=50K
37-41,Private,206074,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,Un***********,>50K
32-36,Self-emp-not-inc,288585,HS-grad,9,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,0,0,20,***********,<=50K
